variable_name,description,category,wave,n_nonmissing,n_missing,dtype
sleep_wave4,Average sleep duration (hours/night),Lifestyle & Behavior,Wave 4,19735,6138,Continuous (float)
act_1_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_2_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_3_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_4_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_5_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_6_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_7_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
act_8_wave4,,Lifestyle & Behavior,Wave 4,19730,6143,Continuous (float)
iwy_wave4,"Individual wage (annual, yuan)",Work & Income,Wave 4,19816,6057,Continuous (float)
iwm_wave4,"Individual income (annual, yuan)",Work & Income,Wave 4,19816,6057,Continuous (float)
retire_wave4,"Retirement status (1=retired, 0=not)",Work & Income,Wave 4,19562,6311,Continuous (float)
rural_wave4,"Rural residence (1=rural, 0=urban)",Demographics,Wave 4,19816,6057,Continuous (float)
family_size_wave4,Number of household members,Demographics,Wave 4,19816,6057,Continuous (float)
marry_wave4,"Marital status (1=married/partnered, 0=other)",Demographics,Wave 4,19816,6057,Continuous (float)
rural2_wave4,Rural residence (alternative coding),Demographics,Wave 4,18098,7775,Continuous (float)
srh_wave4,"Self-rated health (1=very good, 5=very poor)",Self-rated Health,Wave 4,18278,7595,Continuous (float)
smokev_wave4,"Smoking status (0=never, 1=former, 2=current)",Lifestyle & Behavior,Wave 4,19734,6139,Continuous (float)
smoken_wave4,Cigarettes per day (current smokers),Lifestyle & Behavior,Wave 4,19729,6144,Continuous (float)
drinkl_wave4,Alcohol consumption frequency,Lifestyle & Behavior,Wave 4,19729,6144,Continuous (float)
vgact_c_wave4,,Lifestyle & Behavior,Wave 4,19732,6141,Continuous (float)
mdact_c_wave4,,Lifestyle & Behavior,Wave 4,19732,6141,Continuous (float)
ltact_c_wave4,,Lifestyle & Behavior,Wave 4,19732,6141,Continuous (float)
